feature	isolate	nearest_gene	nearest_te	scaffold
atg3041	MNH120	1860	263	scaffold_424
atg3042	MNH120	1860	2806	scaffold_424
atg3043	MNH120	2367	9393	scaffold_424
atg3044	MNH120	2367	5710	scaffold_424
atg3045	MNH120	1525	782	scaffold_424
atg3046	MNH120	1112	2307	scaffold_424
atg3047	MNH120	638	482	scaffold_424
atg3048	MNH120	638	108	scaffold_424
atg1070	MNH120	427	307	scaffold_209
atg1071	MNH120	427	370	scaffold_209
atg1072	MNH120	225	9	scaffold_209
atg1073	MNH120	225	10	scaffold_209
atg1074	MNH120	685	6	scaffold_209
atg1075	MNH120	308	41	scaffold_209
atg1076	MNH120	308	1	scaffold_209
atg1077	MNH120	516	34	scaffold_209
atg1078	MNH120	516	5	scaffold_209
atg1079	MNH120	146	1	scaffold_209
atg1080	MNH120	101	34	scaffold_209
atg1081	MNH120	101	2	scaffold_209
atg1082	MNH120	1409	78	scaffold_209
atg1083	MNH120	1409	12	scaffold_209
atg1084	MNH120	1062	4	scaffold_209
atg1085	MNH120	831	41	scaffold_209
atg1086	MNH120	464	7	scaffold_209
atg1087	MNH120	367	21	scaffold_209
atg1088	MNH120	367	8	scaffold_209
atg1089	MNH120	647	56	scaffold_209
atg1090	MNH120	332	2	scaffold_209
atg1091	MNH120	332	1	scaffold_209
atg1092	MNH120	212	34	scaffold_209
atg1093	MNH120	123	15	scaffold_209
atg1094	MNH120	44	30	scaffold_209
atg1095	MNH120	44	75	scaffold_209
atg9071	MNH120	315	3711	scaffold_911
atg9072	MNH120	315	5959	scaffold_911
atg9073	MNH120	664	7123	scaffold_911
atg9074	MNH120	664	8910	scaffold_911
atg9075	MNH120	336	10840	scaffold_911
atg9076	MNH120	205	9233	scaffold_911
atg9077	MNH120	205	7747	scaffold_911
atg9078	MNH120	987	2985	scaffold_911
atg9079	MNH120	1372	269	scaffold_911
atg9080	MNH120	1577	1275	scaffold_911
atg9081	MNH120	560	3619	scaffold_911
atg9082	MNH120	560	6581	scaffold_911
atg9083	MNH120	598	6076	scaffold_911
atg9084	MNH120	230	2993	scaffold_911
atg9085	MNH120	230	1261	scaffold_911
atg9086	MNH120	1274	118	scaffold_911
atg9087	MNH120	468	3175	scaffold_911
atg9088	MNH120	468	319	scaffold_911
atg9089	MNH120	718	393	scaffold_911
atg9090	MNH120	718	3761	scaffold_911
atg9091	MNH120	1431	7394	scaffold_911
atg9092	MNH120	303	11614	scaffold_911
atg9093	MNH120	134	13488	scaffold_911
atg9094	MNH120	134	14232	scaffold_911
atg9095	MNH120	732	17153	scaffold_911
atg9096	MNH120	452	15694	scaffold_911
atg9097	MNH120	381	14662	scaffold_911
atg9098	MNH120	381	11303	scaffold_911
atg9099	MNH120	398	9274	scaffold_911
atg9100	MNH120	448	7740	scaffold_911
atg9101	MNH120	480	4790	scaffold_911
atg9102	MNH120	2127	2033	scaffold_911
atg9103	MNH120	1548	548	scaffold_911
atg9104	MNH120	152	70	scaffold_911
atg9105	MNH120	47	812	scaffold_911
atg9106	MNH120	47	1074	scaffold_911
atg9107	MNH120	420	1415	scaffold_911
atg9108	MNH120	415	2160	scaffold_911
atg9109	MNH120	415	3777	scaffold_911
atg9110	MNH120	1001	5918	scaffold_911
atg9111	MNH120	176	5256	scaffold_911
atg9112	MNH120	176	4081	scaffold_911
atg9113	MNH120	146	3023	scaffold_911
atg9114	MNH120	146	1258	scaffold_911
atg9115	MNH120	364	455	scaffold_911
atg9116	MNH120	364	2464	scaffold_911
atg9117	MNH120	1436	6114	scaffold_911
atg9118	MNH120	471	8477	scaffold_911
atg9119	MNH120	471	9950	scaffold_911
atg9120	MNH120	584	6018	scaffold_911
atg9121	MNH120	56	4374	scaffold_911
atg9122	MNH120	56	2204	scaffold_911
atg9123	MNH120	347	442	scaffold_911
atg9124	MNH120	347	87	scaffold_911
atg9125	MNH120	473	560	scaffold_911
atg9126	MNH120	713	1938	scaffold_911
atg9127	MNH120	713	435	scaffold_911
atg9128	MNH120	109	526	scaffold_911
atg9129	MNH120	49	1845	scaffold_911
atg9130	MNH120	49	2149	scaffold_911
atg9131	MNH120	1032	2557	scaffold_911
atg9132	MNH120	1032	470	scaffold_911
atg9133	MNH120	1042	500	scaffold_911
atg9134	MNH120	958	3700	scaffold_911
atg9135	MNH120	533	6764	scaffold_911
atg9136	MNH120	178	8563	scaffold_911
atg9137	MNH120	82	6653	scaffold_911
atg9138	MNH120	82	5759	scaffold_911
atg9139	MNH120	956	3453	scaffold_911
atg9140	MNH120	580	679	scaffold_911
atg9141	MNH120	580	1259	scaffold_911
atg9142	MNH120	1487	4099	scaffold_911
atg9143	MNH120	321	6439	scaffold_911
atg9144	MNH120	73	6397	scaffold_911
atg9145	MNH120	73	5385	scaffold_911
atg9146	MNH120	489	2661	scaffold_911
atg9147	MNH120	426	591	scaffold_911
atg9148	MNH120	426	165	scaffold_911
atg9149	MNH120	941	1318	scaffold_911
atg9150	MNH120	1855	719	scaffold_911
atg9151	MNH120	1851	335	scaffold_911
atg9152	MNH120	175	3815	scaffold_911
atg9153	MNH120	89	828	scaffold_911
