isolate	length	scaffold
I19A	188601	NODE_48754_length_188909_cov_13.292866
I19A	7619	NODE_4146_length_7515_cov_13.962475
I19A	139236	NODE_27017_length_139130_cov_13.143786
I19A	76716	NODE_35348_length_76686_cov_13.325835
I19A	1224717	NODE_43730_length_1226315_cov_13.303601
I19A	337953	NODE_45825_length_338626_cov_13.408875
I19A	250502	NODE_10352_length_250765_cov_13.535218
I19A	15356	NODE_10467_length_15177_cov_13.993015
I19A	257571	NODE_45341_length_257803_cov_12.765368
I19A	289610	NODE_82062_length_289918_cov_13.723984
I19A	68786	NODE_27620_length_69103_cov_12.776378
I19A	101302	NODE_29142_length_101688_cov_12.806369
I19A	4528	NODE_445_length_4424_cov_439.353088
I19A	34262	NODE_15030_length_34241_cov_13.700563
I19A	56328	NODE_35033_length_56296_cov_13.443690
I19A	147471	NODE_10527_length_147575_cov_13.160664
I19A	149886	NODE_43950_length_150153_cov_13.458579
I19A	135186	NODE_45496_length_135873_cov_12.645691
I19A	291544	NODE_59332_length_291552_cov_13.673149
I19A	359183	NODE_51516_length_359578_cov_13.451936
I19A	26232	NODE_20843_length_26198_cov_14.231812
I19A	113773	NODE_41340_length_113970_cov_13.010231
I19A	159349	NODE_21654_length_159617_cov_13.454588
I19A	123455	NODE_19934_length_123482_cov_13.819278
I19A	335723	NODE_27512_length_336210_cov_13.181056
I19A	107789	NODE_27119_length_107658_cov_13.354223
I19A	261071	NODE_16221_length_261470_cov_13.564463
I19A	329667	NODE_23656_length_330280_cov_13.510958
I19A	593977	NODE_26211_length_594977_cov_13.303178
I19A	62973	NODE_48976_length_63032_cov_14.124825
I19A	58802	NODE_10452_length_58744_cov_14.345261
I19A	464307	NODE_79470_length_464816_cov_13.296612
I19A	140879	NODE_34223_length_141518_cov_12.469714
I19A	192898	NODE_27113_length_193284_cov_13.223008
I19A	146872	NODE_24764_length_147047_cov_13.578604
I19A	232009	NODE_65222_length_232257_cov_13.345148
I19A	302305	NODE_4040_length_302630_cov_13.424046
I19A	167868	NODE_30010_length_167992_cov_13.835933
I19A	74234	NODE_2760_length_74180_cov_14.495713
I19A	271351	NODE_34018_length_272053_cov_13.219888
I19A	123544	NODE_36166_length_123477_cov_15.532026
I19A	176520	NODE_21849_length_176853_cov_13.544870
I19A	82776	NODE_33105_length_82778_cov_13.164694
I19A	182244	NODE_8777_length_182662_cov_13.716476
I19A	63396	NODE_19226_length_63351_cov_13.254502
I19A	407893	NODE_58364_length_408781_cov_13.412284
I19A	166729	NODE_9525_length_166792_cov_13.095119
I19A	96698	NODE_32632_length_96890_cov_13.371339
I19A	133232	NODE_6747_length_133125_cov_13.315951
I19A	39718	NODE_46610_length_39678_cov_13.556404
I19A	183772	NODE_34258_length_183636_cov_13.985384
I19A	48324	NODE_27066_length_48364_cov_13.032421
I19A	147280	NODE_44926_length_147529_cov_13.043164
I19A	190315	NODE_43162_length_190729_cov_12.795606
I19A	22274	NODE_2452_length_22250_cov_16.321484
I19A	125483	NODE_26062_length_125354_cov_13.183449
I19A	591322	NODE_23649_length_592004_cov_13.260866
I19A	479124	NODE_64158_length_479450_cov_13.245807
I19A	92278	NODE_43432_length_92254_cov_9.070880
I19A	109876	NODE_49923_length_110059_cov_13.343034
I19A	272276	NODE_48935_length_272856_cov_13.027304
I19A	199909	NODE_35863_length_200241_cov_13.244940
I19A	143793	NODE_21824_length_144290_cov_12.881309
I19A	197588	NODE_38740_length_197760_cov_13.350010
I19A	164779	NODE_49018_length_164985_cov_13.270794
I19A	42222	NODE_31115_length_42284_cov_13.368745
I19A	51496	NODE_27136_length_51526_cov_12.294454
I19A	17839	NODE_12279_length_17672_cov_13.673212
I19A	58481	NODE_26285_length_58483_cov_13.451875
I19A	358264	NODE_4838_length_359167_cov_13.584135
I19A	88042	NODE_24727_length_88202_cov_13.875615
I19A	214629	NODE_26599_length_214822_cov_13.910977
I19A	8852	NODE_784_length_8748_cov_15.776749
I19A	145549	NODE_55496_length_145666_cov_13.813272
I19A	825	NODE_903_length_721_cov_374.341187
I19A	61061	NODE_18102_length_61044_cov_13.288972
I19A	61818	NODE_27422_length_61932_cov_13.158626
I19A	315437	NODE_31218_length_316586_cov_12.896414
I19A	449413	NODE_29497_length_449994_cov_13.575294
I19A	173494	NODE_27542_length_173610_cov_13.130684
I19A	142771	NODE_12371_length_142834_cov_13.419193
I19A	73515	NODE_8824_length_73470_cov_13.208806
I19A	245431	NODE_46128_length_245974_cov_13.245798
I19A	17441	NODE_36515_length_17170_cov_12.925742
I19A	2932	NODE_600_length_2828_cov_435.151703
I19A	257260	NODE_39559_length_257723_cov_13.232369
I19A	56659	NODE_22988_length_56614_cov_12.905925
I19A	138456	NODE_31283_length_138553_cov_13.197556
I19A	31876	NODE_6523_length_31865_cov_13.462514
I19A	624507	NODE_57227_length_625221_cov_13.896461
I19A	349232	NODE_55348_length_349307_cov_13.584889
